,z
KDM8,-1.5436494
DYNC2H1,-1.5431076
IFT140,-1.5425158
BTD,-1.5416098
CRLF3,1.5413051
FBXO46,1.5412312
HIRIP3,-1.5409565
DARS,1.5408094
BAZ2A,1.5400214
AHDC1,1.5395045
DUOX2,1.5392888
ARIH2,1.5343225
CPEB1,-1.5328097
PLEKHF1,1.5324038
ELP5,-1.5312295
FAM114A1,-1.5305371
GNL2,1.5304562
ARID1A,1.5300136
YIPF3,-1.5286448
NUBP2,-1.5273814
PTEN,-1.526623
SREK1,1.5257003
ALG12,-1.5247568
DYRK3,-1.5246158
BAG2,1.5246058
WAC,1.5242457
CBY1,-1.5240688
SSR2,-1.5238854
HK1,1.5238054
LOX,-1.5233766
CRELD1,-1.5231631
DMTF1,-1.5229353
SPEN,1.5225134
MYLIP,-1.5205319
CEP72,1.5200942
TMCC1,-1.5184511
C14orf159,1.5183964
ITPKC,1.5178354
MIIP,1.5175778
EGOT,1.5174823
PRKAR2A,1.517442
RUVBL1,1.5168309
CLUAP1,-1.5151732
FAM189B,-1.5145569
MT1E,1.511143
PCNT,-1.510704
NPIPB3,-1.5102459
SEC62,1.509982
ANXA6,-1.5085137
ZNF783,1.5084953
ZNF7,-1.5084666
TRMT112,-1.5082085
FAM65A,1.5080638
TXN2,-1.5061808
RNF130,-1.5058497
PGLS,-1.5048131
LIPG,1.5015814
IARS,1.501321
EMP2,-1.4998431
CDH3,-1.4983506
NUDT13,-1.4975579
HIST3H2A,-1.4974282
RBMS3,1.4949956
WDHD1,1.4945397
DDX60,-1.4936924
SCNM1,-1.4933299
ELN,1.4926502
SLF2,-1.492393
ABCC2,-1.4909286
CASP9,1.4897325
EYA4,-1.4892731
NFYA,-1.4886425
PDE6D,-1.4882965
TMCO1,-1.4872613
XPA,1.4871413
STAT6,1.4861994
MYL9,-1.4860091
NRXN2,1.4853895
ATXN2,1.4846828
NDUFAF4,1.4838588
C1orf27,1.483429
BTG1,-1.4827123
TMED1,-1.4823903
EIF4EBP2,-1.4820827
PTGES2,1.480948
NTRK2,1.4809357
GSTP1,1.4785451
MCCC1,1.4784036
CCL5,-1.4778559
GPS1,1.4774847
NMB,1.4771333
MEPCE,-1.4768164
PDCD6IP,1.4748955
DCK,-1.47469
DUSP7,1.4745908
MAP4K2,1.4745803
GNL3,1.4743187
SNRPA1,1.4742616
SLC38A2,-1.4736311
ETV1,-1.472311
GGA1,-1.471748
CDC42BPB,1.4713401
PHB,1.4711311
IVL,1.470562
NYNRIN,1.4704885
ANTXR1,-1.4700086
TMC6,1.4693865
RAB11FIP3,-1.4688351
QTRTD1,1.4680135
OSTM1,-1.467649
MINPP1,-1.4669921
ZIC1,-1.4669671
ZBTB14,-1.4668967
KIAA0430,-1.4655848
DPAGT1,-1.4651635
STK10,1.4650881
UBE2I,-1.4646164
CBLC,1.46398
KLHL21,1.4633498
TMEM135,1.4621022
YIPF2,-1.4608438
SKIV2L,1.4605786
NFX1,1.4604313
TYRP1,-1.4603446
DDT,-1.4597119
MYL6,-1.4590414
VIPR1,1.458788
SNRNP25,-1.4586285
GTF3C2,1.4582795
CIRBP,-1.4558034
ARHGAP6,1.4555665
RNF170,1.4553813
SPEG,-1.4553622
PPP2CB,1.4545326
C11orf24,1.4545254
RASGRP1,-1.4544315
PPAT,1.453969
UGGT2,-1.4528894
WDR70,-1.4525417
IPP,-1.4524583
FAM206A,1.4524094
CCDC51,1.4523784
INSIG1,1.4519604
CUL4A,1.4519587
MBOAT7,-1.4512241
HLA-DPB1,-1.4500506
ANP32A,1.4498463
RAD51,1.4493709
ZNF500,-1.4488032
AKAP10,1.447912
ATG2B,-1.4475168
SAP18,-1.4471719
C5orf30,1.4469868
MINK1,1.4460793
ATF1,1.4457238
KIAA0930,-1.4456112
UBFD1,-1.4447136
GLTP,1.4442401
JMJD1C,-1.4437467
NUP93,1.4425852
ARHGDIA,1.4414649
CSRP2,-1.44146
MRE11A,1.4398608
DHX34,1.4397657
TNPO3,1.4394413
TRAPPC12,-1.4389738
SUPT7L,-1.4379311
VDAC2,-1.435998
NEK4,1.4356759
CAB39,-1.4348885
ST14,1.4331102
BRCC3,1.4316863
MYOF,-1.4302461
IFI6,-1.4301736
BCAM,1.4294207
NR3C1,-1.4292774
CFAP44,-1.4290411
PLAGL2,1.4282235
SGPL1,-1.4281867
KLRC3,-1.4280387
DMXL1,-1.4278848
MTA1,1.4263799
CFI,1.4262109
DKC1,1.4257607
KIFC3,1.4256902
UBE2L3,-1.4242494
PKP4,1.424162
IDUA,1.4241589
PTPRCAP,-1.4237905
BLVRA,-1.4235275
ISOC1,1.4229416
BTBD1,1.4222724
SLC1A4,-1.4214982
TEK,-1.421462
KCNE4,-1.4212432
ARHGEF1,1.4211683
USP7,1.4211385
ATP2C2,-1.4203153
CNDP2,1.4202584
GNS,-1.419848
IL6,1.4195077
DCP1A,1.4194689
UQCRC1,1.4187934
TCF3,1.4183136
ZNHIT1,-1.4162049
ARL2,-1.4152166
ITGAL,-1.4147305
PIGO,1.4147179
ASL,1.4140139
ZNF174,-1.4139404
NPRL3,-1.4131491
VILL,1.4128995
LILRA4,-1.4116876
TUBA4B,-1.4115989
TAF7,-1.4103572
KCNK10,-1.4097884
OSER1,-1.4097745
NCAPH,1.408747
ZBTB1,-1.4086094
ME2,1.4061147
KIAA1024,-1.4058726
SNRPD3,-1.4058571
PTN,-1.4057437
SPATS2,-1.405498
AKR7A2,-1.4048879
GMPPA,-1.4041828
SRI,-1.4041319
GGCX,-1.4033487
PIK3C2A,1.4023015
TGOLN2,1.4013981
ACAA2,1.4012232
SLC2A5,1.4009837
RALA,1.4001391
CELSR2,-1.3996003
NPTX1,-1.3986726
LIMS1,1.3983994
SEC24C,-1.3982302
ARMCX5,1.3971144
HSPA1A,1.396297
PTPN1,-1.3954086
LAMC2,1.3953583
FAM162A,1.3952959
PCGF2,-1.3944825
DHX15,1.3940682
GPAA1,-1.3937507
SNRK,1.393455
HMGCS1,1.3929576
EXO1,1.3923514
LMAN2,-1.3922694
CHMP5,-1.3917423
CDK16,1.3910576
H2AFX,-1.3908453
COL4A3BP,-1.3899901
SMARCC1,1.3899493
RGS1,-1.3897045
NRTN,-1.3895981
ADAMTSL3,-1.3894967
ALDH18A1,1.389211
TRIT1,1.3891815
PACRG,-1.3884482
SLIT3,1.3883718
SLC38A7,1.3871634
UCHL3,1.3871479
COASY,1.3870858
TCF15,1.3867943
SLC16A7,-1.386756
ABHD17A,-1.3858496
SLC25A12,1.3853384
GDAP1L1,1.384568
DUS2,1.384221
IL12RB2,1.3841616
PLS1,1.3840868
DPYSL3,1.3834808
CAPRIN1,1.382988
MVK,1.3825896
CFLAR,1.3824897
HBEGF,1.3824165
RPE,1.3820047
HIGD2A,-1.3812099
NUP205,1.3809115
PCSK5,1.3802539
NOC4L,1.3801224
ERCC3,-1.3797467
YARS2,-1.3797245
GZMK,-1.3796556
BAALC,-1.379384
RAB4B,-1.379029
RNPS1,1.3775965
PIGF,-1.3775632
EIF3L,-1.3775572
CA14,-1.3764088
TRIM2,-1.3761003
ZNF44,-1.3756684
ALOX5AP,-1.3756213
TMEM30A,-1.3755465
PRKAG1,-1.3738003
NDUFA6,-1.3737624
CDK10,1.3737538
DAZAP2,-1.3734231
BIK,1.3731104
PSMB10,1.3728545
CYR61,-1.3716784
C10orf88,-1.3711814
GUF1,1.3702385
PORCN,1.3700042
NARS,1.3699422
SGF29,-1.3694575
POLR2A,1.3691667
TSC2,-1.3672487
TRHDE,-1.3668913
SOSTDC1,-1.366439
PRKD1,-1.366172
EHMT2,-1.3653601
CYB5R1,1.3647746
ZCWPW1,-1.3646932
RHBG,-1.3626347
MKRN2,1.3616555
CENPB,-1.3611445
NME3,-1.3601143
TSR1,1.3600935
RANBP17,-1.359858
ZWILCH,1.3591492
AMIGO2,-1.3590707
AKR1C2,1.3582566
AKR1B10,1.3578515
RBM39,-1.3577403
ARMCX2,1.3567939
SCP2,-1.3565909
MRPL9,-1.3552859
WDR74,1.3552718
MNT,1.354698
KDM3A,-1.3545322
TMEM158,-1.3527085
ZSCAN18,1.3525462
RAP2C,-1.3523215
SRSF6,-1.3516952
ZSCAN16,-1.350697
KBTBD4,-1.350291
EIF2S3,-1.3501666
FNDC3B,1.349626
PGM3,-1.3495222
SSH3,1.3493559
HEATR6,-1.3488139
TMOD1,-1.3488117
SGCB,-1.3482325
TMEM164,-1.3476284
PIGN,-1.3473779
MYH10,1.3469055
TTLL1,-1.3465118
MAP3K4,1.3446752
FAM13B,-1.3441906
OPA1,1.3440841
ANXA2,-1.3436038
UBAP2,1.3414624
NSDHL,1.341011
MLPH,-1.3396055
IL20RA,-1.339274
SEC31A,1.3390001
ADH1A,-1.3385632
GJA4,1.337913
LYPLA1,1.3367524
BET1,-1.3348241
KDELR1,1.3333828
HIPK1,-1.3332503
GZMA,-1.3319991
TNFRSF11A,-1.3316275
SCGB1D2,-1.3312091
FGF1,-1.3311656
STRAP,1.3310411
GTF2E1,1.3308964
MCC,1.3302717
ASPM,1.3292406
TMEM47,-1.3292358
TAF9,1.3287184
SHCBP1,1.3285936
ARPC2,-1.3277483
TNFRSF12A,-1.3270397
GRB10,-1.3263149
RGS19,-1.3261067
